Year,Country,Total
2019,Spain,6354
2019,Sweden,775
2019,Switzerland,1875
2019,United Kingdom,11020
2019,United States of America,7483
2020,Australia,2009
2020,Austria,224
2020,Belgium,483
2020,Canada,2685
2020,Czechia,148
2020,Denmark,250
2020,Estonia,12
2020,Finland,236
2020,France,1054
2020,Germany,1333
2020,Greece,691
2020,Hungary,92
2020,Ireland,1017
2020,Israel,1173
2020,Italy,293
2020,South Korea,22
2020,Latvia,5
2020,Lithuania,10
2020,Netherlands,229
2020,New Zealand,687
2020,Norway,1114
2020,Poland,390
2020,Slovenia,69
2020,Spain,4036
2020,Sweden,789
2020,Switzerland,1910
2020,United Kingdom,9780
2020,United States of America,7884
2021,Australia,2450
2021,Austria,207
2021,Belgium,610
2021,Canada,2807
2021,Czechia,153
2021,Denmark,283
2021,Estonia,11
2021,Finland,266
2021,France,1251
2021,Germany,1254
2021,Greece,662
2021,Hungary,113
2021,Ireland,1707
2021,Israel,1248
2021,Italy,299
2021,South Korea,29
2021,Latvia,7
2021,Lithuania,5
2021,Netherlands,212
2021,New Zealand,597
2021,Norway,1083
2021,Poland,887
2021,Slovenia,68
2021,Spain,4293
2021,Sweden,NA
2021,Switzerland,1810
2021,United Kingdom,12609
2021,United States of America,8028
